row_id,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,class
19,6,7,5,0.43200000000000005,0.051,0.19899999999999998,0.044000000000000004,0.504,0.212,0.195,0.013999999999999999,0.042,0.915,0.008,0.002,0.204343534,0.35636722600000004,0.29615004899999997,0.143139191,8,13,0.302,0.24600000000000002,0.14400000000000002,0.09,0.15,0.303,13.0,5.947497969130781,23.37,6549.0,3710.0,0,1
20,5,11,4,0.41700000000000004,0.087,0.243,0.08900000000000001,0.49700000000000005,0.215,0.21899999999999997,0.009000000000000001,0.004,0.961,0.004,0.0,0.22845691399999998,0.43687374700000003,0.248496994,0.086172345,9,15,0.34600000000000003,0.22,0.126,0.071,0.16484144144144144,0.34299999999999997,11.0,5.947497969130781,49.02,1119.0,1640.0,1,1
24,2,12,5,0.489,0.054000000000000006,0.26,0.096,0.502,0.22899999999999998,0.13699999999999998,0.44299999999999995,0.015,0.455,0.028999999999999998,0.057999999999999996,0.20221328,0.179074447,0.292756539,0.325955734,13,7,0.195,0.11,0.067,0.053,0.174,0.142,7.0,1.6,8.78,1330.0,1289.0,0,0
27,5,4,3,0.456,0.065,0.247,0.081,0.488,0.188,0.18,0.044000000000000004,0.21600000000000003,0.738,0.006,0.003,0.193711968,0.495943205,0.20689655199999998,0.10344827599999999,9,13,0.337,0.348,0.12,0.107,0.16484144144144144,0.364,12.0,5.947497969130781,21.13261776339444,3431.4336492890993,5140.0,1,1
30,6,5,1,0.446,0.049,0.318,0.147,0.49700000000000005,0.233,0.192,0.10099999999999999,0.028999999999999998,0.855,0.006999999999999999,0.0,0.182358771,0.35877106,0.308225966,0.150644202,11,11,0.312,0.20600000000000002,0.11699999999999999,0.078,0.10099999999999999,0.327,10.0,4.76,35.65,3790.0,7530.0,1,1
31,2,12,2,0.45899999999999996,0.07,0.215,0.054000000000000006,0.536,0.24100000000000002,0.128,0.036000000000000004,0.55,0.375,0.009000000000000001,0.019,0.143856144,0.260739261,0.284715285,0.310689311,14,9,0.36200000000000004,0.185,0.13699999999999998,0.11699999999999999,0.14400000000000002,0.287,13.0,13.06,14.94,1680.0,1119.0,1,1
33,5,11,2,0.44799999999999995,0.044000000000000004,0.377,0.2,0.508,0.21100000000000002,0.24600000000000002,0.5429999999999999,0.004,0.435,0.018000000000000002,0.002,0.211519364,0.28599801399999997,0.253227408,0.24925521399999997,13,15,0.294,0.2136276517922455,0.113,0.095,0.18600000000000003,0.289,10.0,5.947497969130781,21.13261776339444,3431.4336492890993,2551.339285714286,0,0
34,5,10,6,0.527,0.085,0.27399999999999997,0.153,0.466,0.256,0.09300000000000001,0.040999999999999995,0.001,0.6970000000000001,0.14,0.04,0.073194857,0.269040554,0.36696340299999997,0.290801187,15,7,0.303,0.23399999999999999,0.057999999999999996,0.055999999999999994,0.221,0.23600000000000002,11.625867507886435,5.947497969130781,21.13261776339444,2439.0,1379.0,0,0
35,7,4,5,0.42700000000000005,0.083,0.231,0.084,0.517,0.268,0.171,0.055999999999999994,0.107,0.813,0.0,0.002,0.26401631,0.391437309,0.224260958,0.120285423,14,14,0.337,0.307,0.121,0.107,0.16484144144144144,0.385,13.0,5.947497969130781,23.16,3169.0,1759.0,0,2
36,6,3,3,0.504,0.04,0.172,0.07400000000000001,0.513,0.248,0.18100000000000002,0.027000000000000003,0.0,0.9470000000000001,0.011000000000000001,0.006999999999999999,0.092353525,0.476663357,0.279046673,0.151936445,12,12,0.32299999999999995,0.17600000000000002,0.121,0.068,0.16484144144144144,0.262,13.0,5.947497969130781,11.27,3639.0,2039.0,1,1
37,8,3,6,0.40399999999999997,0.08,0.213,0.08199999999999999,0.479,0.171,0.222,0.105,0.025,0.8140000000000001,0.028999999999999998,0.016,0.09699999999999999,0.293,0.402,0.20800000000000002,9,14,0.23199999999999998,0.19399999999999998,0.092,0.052000000000000005,0.265,0.205,10.0,5.947497969130781,16.46,939.0,1080.0,0,0
39,3,12,1,0.5589999999999999,0.027000000000000003,0.153,0.062,0.49700000000000005,0.228,0.19899999999999998,0.023,0.008,0.9540000000000001,0.013999999999999999,0.0,0.07607607599999999,0.36236236200000005,0.34434434399999997,0.217217217,11,14,0.311,0.17300000000000001,0.08900000000000001,0.055999999999999994,0.19399999999999998,0.306,12.0,5.947497969130781,21.13261776339444,8360.0,4150.0,0,1
42,6,7,3,0.522,0.053,0.114,0.044000000000000004,0.496,0.218,0.19899999999999998,0.016,0.0,0.956,0.013999999999999999,0.006999999999999999,0.094621514,0.43525896399999997,0.298804781,0.17131474100000002,10,14,0.273,0.19899999999999998,0.105,0.078,0.256,0.23199999999999998,11.0,5.947497969130781,17.77,2609.0,1620.0,0,1
43,3,12,5,0.46399999999999997,0.053,0.145,0.043,0.516,0.228,0.16899999999999998,0.08199999999999999,0.188,0.703,0.003,0.009000000000000001,0.126252505,0.341683367,0.336673347,0.19539078199999999,11,11,0.38,0.192,0.114,0.10400000000000001,0.20800000000000002,0.266,12.0,10.4,11.42,1570.0,1170.0,0,1
46,1,1,5,0.43799999999999994,0.06,0.19899999999999998,0.05,0.494,0.28300000000000003,0.129,0.03,0.009000000000000001,0.9470000000000001,0.001,0.0,0.178247734,0.444108761,0.25579053399999996,0.12185297099999999,14,9,0.36200000000000004,0.273,0.11699999999999999,0.086,0.16484144144144144,0.307,13.0,5.947497969130781,26.12,3529.0,1879.0,0,1
51,6,2,5,0.41700000000000004,0.08199999999999999,0.21899999999999997,0.055,0.511,0.247,0.168,0.017,0.01,0.941,0.01,0.006,0.20679320699999998,0.423576424,0.24875124899999998,0.12087912099999999,14,13,0.309,0.27899999999999997,0.11599999999999999,0.085,0.16484144144144144,0.33,14.0,4.17,26.79,3859.0,2330.0,1,1
52,6,7,5,0.423,0.064,0.26899999999999996,0.06,0.518,0.22699999999999998,0.19699999999999998,0.011000000000000001,0.012,0.97,0.0,0.009000000000000001,0.172277228,0.42970297,0.27128712899999996,0.12673267300000002,12,15,0.376,0.166,0.11800000000000001,0.08800000000000001,0.16484144144144144,0.32799999999999996,13.0,5.947497969130781,38.48,4409.0,2859.0,1,1
55,6,7,5,0.457,0.054000000000000006,0.27899999999999997,0.126,0.514,0.21600000000000003,0.215,0.031,0.002,0.93,0.009000000000000001,0.011000000000000001,0.08965517199999999,0.33300492600000003,0.33201970399999997,0.245320197,9,11,0.20199999999999999,0.19399999999999998,0.062,0.06,0.183,0.19399999999999998,11.0,5.947497969130781,20.24,2159.0,1440.0,1,0
57,2,12,5,0.45399999999999996,0.055999999999999994,0.21899999999999997,0.055999999999999994,0.51,0.267,0.114,0.027999999999999997,0.062,0.882,0.008,0.013999999999999999,0.125373134,0.34029850700000003,0.34228855700000005,0.192039801,14,8,0.302,0.20600000000000002,0.107,0.08199999999999999,0.158,0.29100000000000004,12.0,4.24,24.24,3910.0,5770.0,1,1
58,4,7,3,0.601,0.04,0.11599999999999999,0.053,0.508,0.222,0.207,0.021,0.0,0.953,0.003,0.002,0.079158317,0.36272545100000003,0.343687375,0.214428858,11,13,0.337,0.18100000000000002,0.091,0.073,0.12,0.287,8.0,5.947497969130781,21.68,7269.0,2450.0,1,0
61,1,1,4,0.43200000000000005,0.043,0.259,0.154,0.499,0.203,0.24,0.113,0.0,0.847,0.015,0.003,0.10479041900000001,0.294411178,0.349301397,0.251497006,12,14,0.268,0.223,0.11199999999999999,0.073,0.184,0.24600000000000002,10.0,3.0,21.12,2400.0,1919.0,0,0
63,4,6,1,0.331,0.055,0.292,0.10400000000000001,0.405,0.19699999999999998,0.124,0.047,0.612,0.32799999999999996,0.009000000000000001,0.002,0.274274274,0.38438438399999997,0.242242242,0.09909909900000001,8,7,0.32799999999999996,0.2136276517922455,0.121,0.138,0.16484144144144144,0.287,12.0,5.947497969130781,21.13261776339444,3259.0,3249.0,0,1
64,4,2,3,0.41100000000000003,0.067,0.204,0.057,0.501,0.193,0.183,0.023,0.3,0.655,0.005,0.001,0.269346734,0.380904523,0.269346734,0.08040201,9,10,0.364,0.306,0.156,0.113,0.16484144144144144,0.32299999999999995,13.0,5.947497969130781,24.31,3431.4336492890993,2551.339285714286,0,1
65,3,12,5,0.547,0.04,0.09699999999999999,0.064,0.503,0.21899999999999997,0.188,0.009000000000000001,0.009000000000000001,0.965,0.0,0.004,0.072580645,0.34979838700000004,0.36895161299999996,0.208669355,11,11,0.264,0.13,0.086,0.057999999999999996,0.21600000000000003,0.239,12.0,5.947497969130781,12.44,2080.0,1560.0,0,0
67,1,1,5,0.512,0.07,0.138,0.028999999999999998,0.502,0.28300000000000003,0.096,0.158,0.111,0.665,0.001,0.05,0.083503055,0.27087576399999996,0.302443992,0.343177189,11,6,0.322,0.182,0.106,0.086,0.233,0.235,13.0,2.59,8.31,2079.0,1990.0,1,1
68,5,11,1,0.318,0.057,0.252,0.17300000000000001,0.48700000000000004,0.272,0.254,0.086,0.0,0.895,0.006999999999999999,0.0,0.168326693,0.395418327,0.253984064,0.182270916,7,11,0.252,0.2136276517922455,0.095,0.08389588859416454,0.16484144144144144,0.228,11.0,5.947497969130781,21.13261776339444,3431.4336492890993,2551.339285714286,0,1
70,7,8,6,0.441,0.057999999999999996,0.327,0.125,0.513,0.183,0.244,0.301,0.001,0.657,0.027000000000000003,0.005,0.12202381,0.266865079,0.331349206,0.279761905,9,10,0.23,0.21899999999999997,0.081,0.098,0.18100000000000002,0.222,9.0,8.38,17.85,2910.0,1569.0,1,0
71,8,2,6,0.397,0.08199999999999999,0.23199999999999998,0.157,0.495,0.198,0.255,0.175,0.002,0.639,0.168,0.011000000000000001,0.156345178,0.29644670100000003,0.377664975,0.169543147,12,15,0.273,0.25,0.11800000000000001,0.085,0.145,0.256,10.0,8.8,25.83,1759.0,1709.0,0,0
73,4,5,5,0.321,0.09699999999999999,0.214,0.09,0.499,0.177,0.267,0.035,0.0,0.9209999999999999,0.01,0.003,0.082259663,0.328047572,0.444995045,0.144697721,7,12,0.315,0.159,0.12300000000000001,0.08389588859416454,0.18100000000000002,0.226,10.0,5.947497969130781,21.13261776339444,2019.0,2551.339285714286,1,0
76,5,4,5,0.368,0.107,0.298,0.099,0.498,0.22,0.171,0.003,0.597,0.35600000000000004,0.027000000000000003,0.0,0.24131082399999998,0.314796425,0.337636544,0.10625620699999999,10,10,0.364,0.268,0.157,0.15,0.16484144144144144,0.317,13.0,5.947497969130781,16.47,5139.0,2551.339285714286,0,1
77,5,9,4,0.5670000000000001,0.043,0.213,0.121,0.515,0.226,0.20199999999999999,0.076,0.003,0.878,0.02,0.002,0.114,0.381,0.287,0.218,13,13,0.32299999999999995,0.203,0.122,0.053,0.16484144144144144,0.342,10.0,5.947497969130781,21.13261776339444,1390.0,819.0,0,1
78,6,6,2,0.342,0.064,0.242,0.09699999999999999,0.466,0.195,0.214,0.027000000000000003,0.087,0.8540000000000001,0.005,0.002,0.22266401600000002,0.402584493,0.294234592,0.080516899,9,13,0.355,0.306,0.155,0.08,0.079,0.337,12.0,5.947497969130781,47.4,3979.0,5369.0,0,1
79,4,6,5,0.29600000000000004,0.151,0.273,0.084,0.498,0.22699999999999998,0.131,0.006,0.852,0.14300000000000002,0.006,0.0,0.241210938,0.359375,0.237304688,0.162109375,14,11,0.444,0.18100000000000002,0.192,0.177,0.085,0.361,11.0,5.947497969130781,22.59,3431.4336492890993,3809.0,0,1
80,5,4,4,0.35100000000000003,0.092,0.19,0.084,0.493,0.209,0.168,0.009000000000000001,0.005,0.981,0.0,0.005,0.253716551,0.354806739,0.28245787899999997,0.109018831,9,13,0.289,0.319,0.126,0.085,0.16484144144144144,0.297,13.0,5.947497969130781,18.65,16109.0,3140.0,1,1
82,7,4,1,0.413,0.049,0.318,0.095,0.505,0.271,0.13,0.396,0.02,0.5479999999999999,0.02,0.009000000000000001,0.192502533,0.25531914899999997,0.324214792,0.22796352600000003,16,6,0.27399999999999997,0.231,0.07200000000000001,0.083,0.132,0.28600000000000003,9.0,5.947497969130781,18.57,3580.0,1569.0,1,1
83,7,8,3,0.419,0.059000000000000004,0.25,0.051,0.512,0.24100000000000002,0.187,0.021,0.308,0.638,0.002,0.008,0.16700404900000002,0.431174089,0.261133603,0.140688259,10,14,0.35,0.34600000000000003,0.151,0.091,0.16484144144144144,0.33899999999999997,11.0,5.947497969130781,32.42,9080.0,3000.0,1,1
85,7,10,6,0.521,0.051,0.149,0.057,0.504,0.2,0.22899999999999998,0.019,0.016,0.9520000000000001,0.01,0.008,0.081716037,0.390194076,0.324821246,0.20326864100000003,8,12,0.301,0.23,0.10800000000000001,0.078,0.25,0.251,11.0,5.947497969130781,29.53,3130.0,979.0,0,1
86,6,7,2,0.331,0.076,0.25,0.107,0.41100000000000003,0.19699999999999998,0.156,0.09699999999999999,0.34700000000000003,0.547,0.009000000000000001,0.0,0.255744256,0.37662337700000004,0.265734266,0.10189810199999999,11,11,0.373,0.21100000000000002,0.138,0.098,0.111,0.332,12.0,8.84,31.48,8850.0,7329.0,1,1
87,2,12,5,0.495,0.064,0.177,0.051,0.523,0.21899999999999997,0.139,0.049,0.24600000000000002,0.6579999999999999,0.006,0.037000000000000005,0.112449799,0.320281124,0.28313253,0.284136546,12,9,0.33899999999999997,0.188,0.11,0.092,0.139,0.276,12.0,6.8,14.17,1289.0,1300.0,0,1
90,2,12,2,0.335,0.06,0.233,0.102,0.514,0.27,0.073,0.168,0.155,0.616,0.016,0.016,0.12202381,0.306547619,0.424603175,0.146825397,14,6,0.293,0.162,0.08900000000000001,0.081,0.16484144144144144,0.258,9.0,2.91,13.6,5919.0,5460.0,1,1
94,9,4,2,0.436,0.065,0.213,0.086,0.48200000000000004,0.214,0.15,0.027000000000000003,0.023,0.887,0.011000000000000001,0.03,0.132734531,0.337325349,0.263473054,0.26646706600000003,11,10,0.32899999999999996,0.258,0.099,0.075,0.153,0.254,10.0,3.22,20.12,2659.0,999.0,1,1
95,2,12,2,0.506,0.037000000000000005,0.10099999999999999,0.044000000000000004,0.486,0.244,0.145,0.03,0.003,0.946,0.004,0.0,0.077154309,0.359719439,0.326653307,0.23647294600000002,11,8,0.289,0.284,0.09,0.081,0.225,0.273,9.0,5.947497969130781,18.88,2479.0,1640.0,0,1
96,5,9,4,0.326,0.11199999999999999,0.187,0.065,0.478,0.183,0.18600000000000003,0.006,0.037000000000000005,0.9490000000000001,0.009000000000000001,0.0,0.299599198,0.34969939899999997,0.25150300600000003,0.099198397,8,14,0.289,0.295,0.12,0.1,0.16484144144144144,0.278,13.0,9.1,36.69,5890.0,2980.0,0,1
97,7,4,3,0.5920000000000001,0.027000000000000003,0.132,0.064,0.511,0.24100000000000002,0.18100000000000002,0.045,0.006999999999999999,0.937,0.0,0.0,0.074626866,0.33134328399999996,0.35422885600000004,0.239800995,14,9,0.301,0.16699999999999998,0.083,0.059000000000000004,0.17,0.257,12.0,5.947497969130781,21.13261776339444,3279.0,3290.0,1,0
98,7,8,4,0.561,0.066,0.223,0.156,0.486,0.27,0.132,0.23800000000000002,0.004,0.6920000000000001,0.055999999999999994,0.003,0.191808192,0.36963037,0.360639361,0.07792207799999999,15,5,0.299,0.174,0.073,0.075,0.162,0.212,13.0,5.947497969130781,36.99,6030.0,5940.0,0,1
101,8,3,6,0.526,0.045,0.094,0.039,0.511,0.182,0.184,0.015,0.0,0.96,0.0,0.005,0.09300000000000001,0.34299999999999997,0.27399999999999997,0.29,9,11,0.28800000000000003,0.182,0.09699999999999999,0.057999999999999996,0.16699999999999998,0.212,11.0,1.7,11.3,1400.0,1259.0,0,1
102,8,2,5,0.506,0.055999999999999994,0.151,0.040999999999999995,0.5,0.235,0.16899999999999998,0.091,0.009000000000000001,0.8809999999999999,0.012,0.0,0.11077542800000001,0.333333333,0.34843907399999996,0.207452165,10,10,0.29100000000000004,0.163,0.11199999999999999,0.063,0.209,0.254,12.0,5.947497969130781,20.33,2909.0,1699.0,0,0
103,4,2,5,0.381,0.077,0.221,0.08900000000000001,0.525,0.20199999999999999,0.247,0.019,0.243,0.7170000000000001,0.004,0.003,0.170854271,0.350753769,0.324623116,0.15376884400000002,8,12,0.327,0.209,0.156,0.091,0.16484144144144144,0.257,12.0,5.947497969130781,14.06,13600.0,4520.0,0,1
105,2,12,4,0.452,0.055,0.257,0.115,0.496,0.239,0.17800000000000002,0.021,0.013000000000000001,0.78,0.127,0.003,0.12474645,0.427991886,0.283975659,0.163286004,12,11,0.354,0.247,0.145,0.066,0.16484144144144144,0.35200000000000004,10.0,5.947497969130781,41.37,1269.0,3289.0,0,1
106,8,3,2,0.396,0.079,0.141,0.065,0.494,0.203,0.14800000000000002,0.031,0.02,0.912,0.018000000000000002,0.021,0.110772358,0.362804878,0.298780488,0.227642276,10,9,0.294,0.26,0.11199999999999999,0.07200000000000001,0.22399999999999998,0.254,11.0,1.0,11.5,2660.0,1829.0,0,1
108,5,11,1,0.68,0.02,0.2,0.106,0.493,0.21899999999999997,0.22899999999999998,0.067,0.0,0.92,0.006,0.0,0.064935065,0.324675325,0.41258741299999996,0.197802198,7,19,0.292,0.122,0.096,0.08389588859416454,0.14,0.331,13.0,5.947497969130781,21.13261776339444,1019.0,980.0,1,0
111,1,1,2,0.389,0.057999999999999996,0.16399999999999998,0.059000000000000004,0.451,0.217,0.10800000000000001,0.069,0.308,0.564,0.009000000000000001,0.02,0.11699999999999999,0.33899999999999997,0.32799999999999996,0.21600000000000003,11,6,0.361,0.251,0.12300000000000001,0.079,0.17600000000000002,0.257,12.0,5.947497969130781,14.05,5319.0,6150.0,0,0
112,2,12,5,0.474,0.054000000000000006,0.188,0.078,0.505,0.265,0.11199999999999999,0.051,0.146,0.7340000000000001,0.0,0.053,0.07907907900000001,0.24124124100000002,0.326326326,0.353353353,13,6,0.264,0.161,0.09699999999999999,0.08900000000000001,0.156,0.23199999999999998,13.0,1.01,11.16,1830.0,839.0,1,0
113,8,3,3,0.451,0.055,0.23399999999999999,0.049,0.512,0.25,0.145,0.024,0.006,0.943,0.003,0.01,0.15862069,0.431527094,0.257142857,0.15270936,13,10,0.34600000000000003,0.177,0.136,0.07,0.106,0.34299999999999997,13.0,5.8,24.63,3590.0,1869.0,0,1
114,6,5,3,0.5670000000000001,0.053,0.125,0.045,0.496,0.228,0.166,0.019,0.006,0.9570000000000001,0.006,0.001,0.083083083,0.39239239200000003,0.336336336,0.188188188,10,11,0.319,0.19,0.091,0.055,0.258,0.2,12.0,5.947497969130781,20.99,2200.0,1040.0,1,0
116,7,8,4,0.499,0.061,0.163,0.121,0.47200000000000003,0.281,0.11599999999999999,0.48100000000000004,0.015,0.478,0.033,0.01,0.143283582,0.370149254,0.37114427899999997,0.115422886,15,5,0.336,0.20199999999999999,0.098,0.07400000000000001,0.18899999999999997,0.249,10.0,5.947497969130781,23.64,4410.0,2859.0,1,0
117,1,1,3,0.5579999999999999,0.05,0.077,0.032,0.507,0.226,0.14800000000000002,0.024,0.011000000000000001,0.9490000000000001,0.001,0.006,0.062753036,0.30566801600000004,0.339068826,0.292510121,11,8,0.272,0.136,0.09300000000000001,0.057,0.285,0.22399999999999998,12.0,0.67,10.1,2049.0,1650.0,1,0
118,2,12,5,0.498,0.065,0.222,0.059000000000000004,0.516,0.223,0.141,0.057,0.275,0.614,0.004,0.023,0.16582914599999998,0.293467337,0.305527638,0.23517587899999998,14,12,0.354,0.263,0.11199999999999999,0.10800000000000001,0.132,0.24600000000000002,13.0,10.35,9.9,1840.0,1379.0,1,1
119,3,12,5,0.408,0.049,0.243,0.043,0.51,0.22399999999999998,0.196,0.03,0.09699999999999999,0.8490000000000001,0.006999999999999999,0.0,0.205588822,0.373253493,0.289421158,0.131736527,12,13,0.348,0.327,0.136,0.094,0.131,0.319,13.0,8.1,25.82,13360.0,4480.0,0,1
123,2,12,5,0.467,0.051,0.248,0.09,0.511,0.223,0.13,0.049,0.402,0.506,0.004,0.021,0.109768379,0.253776435,0.30715005,0.329305136,14,9,0.28,0.187,0.10300000000000001,0.096,0.162,0.239,13.0,10.9,12.5,1600.0,1199.0,0,1
125,5,10,6,0.509,0.085,0.28300000000000003,0.155,0.46,0.24600000000000002,0.09,0.036000000000000004,0.003,0.721,0.136,0.048,0.083166333,0.265531062,0.365731463,0.285571142,12,6,0.276,0.242,0.062,0.042,0.215,0.239,11.625867507886435,5.947497969130781,17.68,2470.0,1950.0,1,0
127,3,12,6,0.521,0.057,0.221,0.091,0.501,0.23,0.163,0.32799999999999996,0.019,0.5529999999999999,0.013000000000000001,0.075,0.168032787,0.18852459,0.31864754100000003,0.324795082,11,8,0.23,0.08900000000000001,0.067,0.057999999999999996,0.237,0.138,8.0,0.93,10.82,1349.0,1160.0,1,0
128,5,9,1,0.5589999999999999,0.039,0.215,0.106,0.514,0.23,0.231,0.019,0.004,0.879,0.094,0.006,0.085968379,0.37351778700000005,0.348814229,0.191699605,12,16,0.28300000000000003,0.128,0.091,0.053,0.2,0.33,12.0,5.947497969130781,37.87,1459.0,2140.0,1,1
129,9,4,3,0.527,0.033,0.285,0.102,0.488,0.309,0.102,0.516,0.023,0.428,0.018000000000000002,0.013999999999999999,0.30039525699999997,0.23715415,0.280632411,0.181818182,19,6,0.33299999999999996,0.171,0.098,0.075,0.141,0.303,12.0,5.947497969130781,20.49,2320.0,2040.0,0,1
133,3,12,2,0.46799999999999997,0.045,0.242,0.128,0.467,0.247,0.075,0.08,0.053,0.706,0.067,0.028999999999999998,0.063241107,0.23320158100000002,0.390316206,0.313241107,17,5,0.29100000000000004,0.198,0.067,0.067,0.198,0.198,11.625867507886435,4.3,9.73,890.0,1429.0,0,0
134,5,9,1,0.574,0.059000000000000004,0.126,0.09,0.503,0.212,0.22699999999999998,0.036000000000000004,0.004,0.955,0.0,0.009000000000000001,0.114314115,0.36381709700000003,0.34493041700000004,0.17693837,10,12,0.32299999999999995,0.2136276517922455,0.08800000000000001,0.061,0.16484144144144144,0.228,13.0,5.947497969130781,28.11,2910.0,8630.0,1,0
135,7,8,3,0.483,0.066,0.188,0.07400000000000001,0.519,0.2,0.207,0.013999999999999999,0.006,0.968,0.009000000000000001,0.009000000000000001,0.14796425,0.40516385299999996,0.291956306,0.154915591,11,13,0.34299999999999997,0.244,0.099,0.079,0.142,0.278,14.0,5.947497969130781,24.18,4540.0,2599.0,1,1
136,4,6,5,0.517,0.06,0.163,0.08,0.501,0.225,0.17300000000000001,0.021,0.01,0.9540000000000001,0.006,0.008,0.106962664,0.43794147299999997,0.302724521,0.152371342,10,7,0.306,0.187,0.102,0.086,0.19899999999999998,0.28,14.0,5.947497969130781,19.49,2650.0,4189.0,1,1
